step,time,phase_name,simulation_time
652,3.2649999999999526,Standing,6.9399999999999995
653,3.2699999999999525,Standing,6.92
654,3.2749999999999524,Standing,6.8999999999999995
655,3.2799999999999523,Standing,6.879999999999999
656,3.284999999999952,Standing,6.859999999999999
657,3.289999999999952,Standing,6.84
658,3.294999999999952,Standing,6.819999999999999
659,3.299999999999952,Standing,6.799999999999999
660,3.3049999999999518,Standing,6.779999999999999
661,3.3099999999999516,Standing,6.76
662,3.3149999999999515,Standing,6.739999999999999
663,3.3199999999999514,Standing,6.719999999999999
664,3.3249999999999513,Standing,6.699999999999999
665,3.329999999999951,Standing,6.68
666,3.334999999999951,Standing,6.659999999999999
667,3.339999999999951,Standing,6.639999999999999
668,3.344999999999951,Standing,6.619999999999999
669,3.349999999999951,Standing,6.6
670,3.3549999999999507,Standing,6.579999999999999
671,3.3599999999999506,Standing,6.559999999999999
672,3.3649999999999505,Standing,6.539999999999999
673,3.3699999999999504,Standing,6.52
674,3.3749999999999503,Standing,6.499999999999999
675,3.37999999999995,Standing,6.479999999999999
676,3.38499999999995,Standing,6.459999999999999
677,3.38999999999995,Standing,6.4399999999999995
678,3.39499999999995,Standing,6.419999999999999
679,3.3999999999999497,Standing,6.399999999999999
680,3.4049999999999496,Standing,6.379999999999999
681,3.4099999999999495,Standing,6.359999999999999
682,3.4149999999999494,Standing,6.339999999999999
683,3.4199999999999493,Standing,6.3199999999999985
684,3.424999999999949,Standing,6.299999999999999
685,3.429999999999949,Standing,6.279999999999999
686,3.434999999999949,Standing,6.259999999999999
687,3.439999999999949,Standing,6.240000000000001
688,3.4449999999999488,Standing,6.220000000000001
689,3.4499999999999487,Standing,6.200000000000001
690,3.4549999999999486,Standing,6.1800000000000015
691,3.4599999999999485,Standing,6.160000000000001
692,3.4649999999999483,Standing,6.140000000000001
693,3.4699999999999482,Standing,6.120000000000001
